example_id,category,prompt,ai_generated_content,evaluation_criteria,score_clarity,score_engagement,score_accuracy,score_instruction_following,total_score,strengths,weaknesses,improvement_suggestions,final_verdict,evaluator_confidence,error_type,output_quality_verdict,hallucination_detected,response_word_count
SQ-001,Script Quality Evaluation,Write a 60-second YouTube Shorts script about the 1977 Tenerife airport disaster.,"Two 747s. One runway. And a wall of fog that cost 583 lives.

On March 27th, 1977, KLM Flight 4805 began its takeoff roll without clearance. Pan Am Flight 1736 was still on the same runway.

The KLM captain believed he had permission. He did not.

In the fog, neither crew could see the other. By the time anyone realized what was happening, it was too late.

The collision remains the deadliest accident in aviation history.

And it came down to a single misunderstood radio call.","Hook quality, Pacing, Clarity, Story flow, Retention, Ending strength, Audience engagement",9,10,9,9,37,"The opening three-word fragments do exactly what a Shorts hook should do. The pacing across the body is well-controlled, and the ending lands on the real cause, giving viewers a satisfying payoff without overstaying its welcome.","The script is slightly sparse in the middle section. A single sensory detail, such as a mention of the fog density or the cockpit audio, would strengthen immersion.","After 'the fog, neither crew could see the other,' consider adding: 'The last thing recorded on the KLM black box was the captain pushing the throttles forward.' It adds weight without breaking the pacing.","One of the best scripts in this dataset. Clean, accurate, and paced correctly for the format.",High,None,Pass,No,86
SQ-002,Script Quality Evaluation,Write a 60-second YouTube Shorts script about a soldier who survived an impossible battle.,"In 1943, Audie Murphy was 18 years old and about to face 250 German soldiers alone.

His unit had retreated. His friends were dead or wounded. And Murphy made a decision that defied everything military training teaches.

He climbed onto a burning tank destroyer and opened fire.

For an hour, he held off the entire German force, called in artillery on his own position, and refused to back down.

He received every major combat award the US military offers.

He was 19 years old when the war ended. Most people have never heard his name.","Hook quality, Pacing, Clarity, Story flow, Retention, Ending strength, Audience engagement",9,9,9,9,36,Strong historical grounding and good use of specific age to create an emotional contrast. The final line ('most people have never heard his name') is an effective retention trigger that encourages sharing.,The phrase 'defied everything military training teaches' is a bit generic. It tells the viewer there was a reason to be surprised without describing why the action was unusual.,Replace that phrase with something more direct. For example: 'He did what no soldier is supposed to do alone.' Simpler and more concrete.,"Solid historical short. Minor phrasing improvements would elevate this, but it is ready to use as-is.",High,None,Pass,No,95
SQ-003,Script Quality Evaluation,Write a 60-second YouTube Shorts script about a tech company that failed despite having the best product.,"Betamax was better than VHS. Engineers agreed. Critics agreed. Even some VHS executives privately agreed.

But VHS won anyway.

Sony priced Betamax higher, kept the tape format shorter, and refused to license the technology to other manufacturers.

JVC did the opposite. VHS tapes were cheaper, longer, and everywhere.

By the time Sony realized the problem, video stores had already chosen sides.

The best product does not always win. The most available one does.

That lesson took Sony ten years and a collapsed product line to learn.","Hook quality, Pacing, Clarity, Story flow, Retention, Ending strength, Audience engagement",10,9,9,9,37,Excellent pacing and a genuinely useful ending. The lesson lands naturally because the script builds toward it rather than stating it upfront. The three-point contrast in the middle is very clean.,"The opening might be slightly too heavy on expert opinion. Saying 'engineers agreed, critics agreed, even VHS executives' front-loads too many sources without giving the viewer a chance to react.",Trim the opening to: 'Betamax was technically better than VHS. Most people who worked in the industry knew it.' That keeps the credibility without the list.,Strong business/history short with a memorable takeaway. Minor editing suggested but not required.,High,None,Pass,No,86
SQ-004,Script Quality Evaluation,Write a 60-second YouTube Shorts script about deep-sea creatures that science recently discovered.,"We have mapped more of the surface of Mars than we have of the ocean floor.

And every time we send cameras down there, we find things we were not prepared for.

In 2023, researchers discovered a species of fish living at 8,000 meters with no eyes and translucent skin.

There are creatures down there that produce their own light in total darkness. Some of them are larger than we expected. Some we have only seen once.

Ninety-five percent of the ocean is still unexplored.

Whatever is living at the bottom, we are just starting to find out.","Hook quality, Pacing, Clarity, Story flow, Retention, Ending strength, Audience engagement",8,8,7,8,31,The Mars comparison is a well-known but still effective opener. The script maintains a good sense of wonder throughout without tipping into sensationalism.,"The 2023 fish discovery claim needs a source check. If the species and depth figures are not accurate, this creates a fact-checking risk for the creator. The ending is also slightly flat.","Verify the 8,000-meter fish claim before publishing. For the ending, try: 'Whatever is living down there, we have barely scratched the surface.' Slightly more active phrasing closes it better.",Good science short with one fact-checking concern. Verify the specific claim before uploading.,Medium,Hallucination,Conditional Pass,Yes,98
SQ-005,Script Quality Evaluation,Write a 60-second YouTube Shorts script about the Apollo 13 emergency.,"Apollo 13 was supposed to be the third moon landing. It became something else entirely.

56 hours into the mission, an oxygen tank exploded. The crew heard a bang. Then the warning lights came on.

They had lost power, oxygen, and most of their navigation systems.

Mission Control in Houston had to figure out how to bring three astronauts home in a spacecraft that was never designed to keep them alive that long.

They used the lunar module as a lifeboat.

Four days later, the crew splashed down safely in the Pacific.

NASA called it a successful failure. The astronauts called it their longest four days.","Hook quality, Pacing, Clarity, Story flow, Retention, Ending strength, Audience engagement",10,9,10,9,38,Historically accurate and very well-paced. The 'heard a bang' detail is grounded in the actual mission transcripts. The ending is clean and provides a satisfying dual perspective from NASA and the crew.,"The script does not have an explicit call-to-action or retention device at the end. For Shorts specifically, adding something that encourages rewatching or commenting would improve performance.",Add a final engagement prompt: 'What would you have done in their position?' Simple and effective for comment-driving.,Top-tier script for accuracy and flow. Add one engagement prompt at the end and it is complete.,High,None,Pass,No,106
SQ-006,Script Quality Evaluation,Write a 60-second YouTube Shorts script about why skyscrapers sway in the wind.,"Skyscrapers are not designed to stand still in the wind. They are designed to move.

A building like the Burj Khalifa can sway up to two meters at the top during a storm.

If it did not move, the structure would crack under the stress. The sway is not a flaw. It is the solution.

Engineers build this flexibility into the core of the structure using a combination of reinforced steel frames and tuned mass dampers.

A tuned mass damper is basically a giant pendulum inside the building. It swings in the opposite direction of the wind to cancel out the movement.

The building is moving around you. You just cannot feel it.","Hook quality, Pacing, Clarity, Story flow, Retention, Ending strength, Audience engagement",9,8,9,8,34,Clear explanation of a technical concept without oversimplifying. The tuned mass damper analogy works well for a general audience. The closing line is memorable.,The Burj Khalifa sway figure of two meters is on the high end and should be verified. Some sources cite significantly lower figures under normal conditions.,Adjust to 'up to a meter or more during severe winds.' Conservative and accurate beats specific and wrong.,Strong educational short. One factual check needed before publishing.,Medium,Hallucination,Conditional Pass,Yes,113
SQ-007,Script Quality Evaluation,Write a 60-second YouTube Shorts script about a famous prison break.,"In 1962, three men walked out of Alcatraz and were never seen again.

The prison was supposed to be escape-proof. It sat in the middle of San Francisco Bay. The water was cold, the currents were dangerous, and no one had ever made it out alive.

Frank Morris and the Anglin brothers spent months digging through their cell walls with spoons. They made dummy heads from soap and hair to fool the guards during bed checks.

They crawled through ventilation shafts, climbed to the roof, and disappeared into the bay.

The FBI officially closed the case in 1979. They were never found.

Dead or alive, nobody knows.","Hook quality, Pacing, Clarity, Story flow, Retention, Ending strength, Audience engagement",9,10,9,9,37,"Excellent pacing from start to finish. The detail about spoons and dummy heads gives the story texture without slowing it down. The ending is appropriately ambiguous, which is exactly right for this story.","The claim that 'no one had ever made it out alive' is slightly misleading. There were other escape attempts from Alcatraz, some of which remain officially unresolved.",Change the line to: 'No escape attempt had ever been confirmed successful.' More accurate and still just as tense.,"One of the better scripts in this set. Great story, great pacing. One factual precision fix recommended.",High,Missing Context,Conditional Pass,No,107
SQ-008,Script Quality Evaluation,Write a 60-second YouTube Shorts script about how black boxes work on aircraft.,"Every commercial aircraft carries two of the most important devices in aviation. Most people call them black boxes. Neither of them is black.

The flight data recorder captures hundreds of parameters: speed, altitude, heading, engine performance. The cockpit voice recorder captures the last two hours of audio from the flight deck.

Both devices are built to survive impacts of 3,400 Gs of force, temperatures over 1,000 degrees Celsius, and water pressure at depths of 20,000 feet.

When a plane crashes, these devices can tell investigators almost everything that happened and why.

They are painted bright orange so search teams can find them.

The name 'black box' stuck anyway.","Hook quality, Pacing, Clarity, Story flow, Retention, Ending strength, Audience engagement",10,8,9,9,36,The opening misdirect ('neither of them is black') is a well-executed hook for an educational short. The technical specifications are presented clearly and feel credible. The closing callback to the name is satisfying.,The middle section listing technical specs slows the pacing slightly. A list of three figures in a row can feel like a textbook instead of a story.,"Break up the specification list with a connector: 'They are built to survive almost anything. We are talking impacts over 3,000 Gs, fire, and deep-sea pressure.' More conversational delivery.",Strong educational script with minor pacing improvement needed in the middle section.,High,None,Pass,No,108
SQ-009,Script Quality Evaluation,Write a 60-second YouTube Shorts script about a historical figure who died under mysterious circumstances.,"Nikola Tesla died alone in a New York hotel room in January 1943.

He was 86 years old and had been living on little more than warm milk and honey for years. By that point, he had been largely forgotten by the scientific community that once celebrated him.

Within hours of his death, the US government seized all of his papers and research.

The Office of Alien Property took custody of his files. Some of those files were later released. Others have never been fully accounted for.

What was in them? To this day, that is an open question.

Tesla died broke and alone. His ideas are still powering your home.","Hook quality, Pacing, Clarity, Story flow, Retention, Ending strength, Audience engagement",9,9,8,9,35,The ending is the strongest element here. 'His ideas are still powering your home' connects history to the viewer's present life effectively. The government seizure angle adds intrigue without pushing into conspiracy territory.,"The line 'others have never been fully accounted for' is accurate, but without more context it can read as more suspicious than the historical record supports.","Add a brief qualifier: 'The US government later declassified most of his files. Some researchers still debate what, if anything, was missing.' More balanced and still intriguing.",Good historical short with a memorable ending. Small clarification would keep it on the right side of responsible storytelling.,High,Missing Context,Conditional Pass,No,111
SQ-010,Script Quality Evaluation,Write a 60-second YouTube Shorts script about the fastest land animal and why it is built that way.,"The cheetah can go from zero to 70 miles per hour in about three seconds.

But speed is only half the story.

A cheetah's spine works like a spring. When it runs, the spine compresses and releases with every stride, storing and releasing energy like a coiled mechanism.

Its claws are semi-retractable, meaning they stay out like cleats for grip. Its tail acts as a counterbalance, steering the body mid-sprint without losing speed.

The problem is that a full sprint burns energy so fast that a cheetah can only sustain it for about 30 seconds. After that, it needs to rest before it can even eat its kill.

Built for speed. Not for endurance.","Hook quality, Pacing, Clarity, Story flow, Retention, Ending strength, Audience engagement",10,8,9,9,36,Well-structured nature short that balances facts with storytelling. The closing line ('Built for speed. Not for endurance.') is punchy and works well as a final frame. The biomechanics details are accurate and interesting.,The script could do more with the emotional or dramatic angle. The fact that a cheetah must rest before eating its kill is genuinely surprising but gets buried near the end.,Give the rest-after-sprint detail more prominence. Consider ending with: 'It has to lie down and recover before it can even eat what it caught.' That unexpected detail deserves to be the closer.,Solid educational script. Minor restructuring would strengthen the impact of the most memorable detail.,High,None,Pass,No,114
FA-001,Fact Accuracy Evaluation,Provide factual information about the SR-71 Blackbird for a YouTube script.,"The SR-71 Blackbird holds the record as the fastest air-breathing aircraft ever built. It could cruise at Mach 3.2 at altitudes above 80,000 feet. The aircraft was so fast that if a surface-to-air missile was fired at it, the standard evasion procedure was simply to accelerate. The SR-71 entered service in 1966 and was retired in 1998. It was developed by Lockheed's Skunk Works division under the direction of Kelly Johnson.","Factual accuracy, Source reliability, Missing context, Hallucination detection",9,8,9,9,35,"The core facts are accurate. Mach 3.2, service dates, Skunk Works attribution, and the evasion-by-acceleration claim are all consistent with documented sources. Good foundation for a script.","The 80,000 feet figure is slightly conservative. Operational altitudes were sometimes reported above 85,000 feet. The 'fastest air-breathing aircraft' claim should note this refers to sustained crewed flight, not experimental vehicles.",Add a qualifying note: 'fastest sustained crewed air-breathing aircraft.' Also double-check the altitude figure against primary sources before publishing.,Mostly accurate with two minor precision issues. Verify altitude and add the flight-type qualifier before publishing.,High,Missing Context,Conditional Pass,No,71
FA-002,Fact Accuracy Evaluation,Provide historical facts about the sinking of the Titanic for a YouTube script.,"The Titanic sank on April 15, 1912, after striking an iceberg on its maiden voyage from Southampton to New York. The ship was traveling at approximately 22.5 knots when the collision occurred. There were 2,224 people on board and approximately 1,517 died, making it one of the deadliest peacetime maritime disasters in history. The ship carried only 20 lifeboats, enough for roughly 1,178 people, despite being certified to carry far more passengers. Captain Edward John Smith was last seen on the bridge as the ship went under.","Factual accuracy, Source reliability, Missing context, Hallucination detection",10,8,9,9,36,"The figures align well with widely cited historical records. The lifeboat capacity detail is an important contextual fact that is often omitted, and including it adds value.","The speed at time of collision is sometimes cited differently across sources, ranging from 20 to 22.5 knots. Presenting it as a precise figure without acknowledging the range is a minor accuracy issue. Captain Smith's final location is also based on eyewitness accounts, which are not uniform.","Present the speed as approximate: 'traveling at roughly 20 to 22 knots.' For the Captain Smith detail, add 'according to survivor accounts' to flag the source limitation.",Highly accurate overall. Two small qualifications would make this more defensible as a factual source.,High,Missing Context,Conditional Pass,No,87
FA-003,Fact Accuracy Evaluation,Describe the capabilities of the F-22 Raptor for a YouTube aviation script.,The F-22 Raptor is the United States' most advanced air superiority fighter. It has a top speed of Mach 2.5 and can supercruise at Mach 1.82 without afterburners. The aircraft uses radar-absorbing materials that make it nearly invisible to radar systems. It entered service in 2005 and the US built a total of 350 aircraft before production ended. The F-22's advanced avionics allow it to track and engage multiple targets simultaneously at ranges exceeding 100 miles.,"Factual accuracy, Source reliability, Missing context, Hallucination detection",8,7,4,8,27,"The Mach 2.5 top speed, supercruise capability, and 2005 service entry are consistent with publicly available data. The multi-target engagement claim is directionally accurate.",The production total of 350 aircraft is significantly wrong. The US Air Force accepted 187 operational F-22s before production ended in 2011. This is off by nearly double and would be caught immediately by any aviation-literate viewer.,Correct the production figure to 187 aircraft. Always cross-reference specific production numbers against official Air Force or Congressional budget documents. This is a textbook LLM hallucination on a numerical claim.,Contains a significant factual error on production numbers. Do not publish without correcting the 350-aircraft claim.,High,Hallucination,Fail,Yes,76
FA-004,Fact Accuracy Evaluation,Describe the moon landing conspiracy theory and the actual facts for a YouTube script.,"The Apollo 11 moon landing on July 20, 1969 is one of the most documented events in human history. Neil Armstrong and Buzz Aldrin walked on the lunar surface while Michael Collins orbited above. The mission returned 842 pounds of lunar rock samples that have been independently analyzed by scientists in multiple countries. The Van Allen radiation belt was a genuine challenge that NASA engineers accounted for in the mission trajectory. Retroreflectors placed on the lunar surface by the Apollo missions can still be pinged by lasers from Earth today, independently confirming the landings occurred.","Factual accuracy, Source reliability, Missing context, Hallucination detection",10,8,10,9,37,"Every fact listed here is verifiable. The retroreflector detail is particularly strong because it represents independent, reproducible evidence. Good handling of the radiation belt issue without overstating the danger.","The output addresses the evidence for the landing but does not explain the most common conspiracy claims before refuting them. For a YouTube script, presenting the opposing argument first usually performs better.",Open with the conspiracy claim before presenting the evidence. 'Some people believe X. Here is why the evidence points the other way' is more engaging for content purposes.,Factually excellent. Minor structural suggestion for content format. No corrections needed.,High,None,Pass,No,95
FA-005,Fact Accuracy Evaluation,Describe the history and capabilities of the AK-47 for a military history script.,"The AK-47 was designed by Mikhail Kalashnikov in 1947 and entered Soviet service in 1949. It fires the 7.62x39mm round and has an effective range of about 400 meters. The rifle became the most widely produced firearm in history with an estimated 100 million units manufactured. Its gas-operated mechanism and loose tolerances make it highly reliable even in dirt, mud, and extreme temperatures. Kalashnikov designed the weapon after being wounded in battle during World War II, motivated by seeing Soviet soldiers outgunned by German weapons.","Factual accuracy, Source reliability, Missing context, Hallucination detection",9,8,8,9,34,"Core facts are solid. The caliber, service date, production estimate, and design motivation are all consistent with established historical accounts. The loose tolerances explanation for reliability is accurate and useful context.",The 100 million units figure is the high end of production estimates. Published figures typically range from 75 million to 100 million. Presenting the top of a range as a confirmed figure is a minor accuracy issue.,"Adjust to 'an estimated 75 to 100 million units' to reflect the documented range. Worth noting that Kalashnikov's design process drew on multiple prior Soviet designs, which the script does not mention.",Accurate and well-written with minor precision adjustments needed. Good foundation for a military history script.,High,Missing Context,Conditional Pass,No,85
IF-001,Instruction Following Evaluation,Write a YouTube hook in under 20 words. Tone: urgent. Topic: a plane that disappeared over the Pacific.,The plane vanished over the Pacific with 231 passengers. Radar lost contact at 2:47 AM. No one knows why.,"Word limit compliance, Tone compliance, Audience fit, Format compliance, Specific instruction adherence",8,8,8,4,28,The hook has good detail and the specific time reference adds realism. The story setup is clear.,"The output is 27 words, exceeding the 20-word limit by a meaningful margin. The tone reads more like a news report than an urgent hook. 'No one knows why' is flat rather than urgent.","Trim to: '231 passengers. A Pacific flight. Radar went dark at 2:47 AM and never came back.' Under 20 words and the fragmented structure delivers urgency through form, not just content.","Failed the word limit requirement. Content quality is decent, but instruction compliance is a core criterion and this output misses it.",High,Instruction Failure,Fail,No,19
IF-002,Instruction Following Evaluation,"Write a short YouTube script. Requirements: 60-80 words only. Audience: general public, no jargon. Topic: how GPS works.","Your phone knows exactly where you are right now. Here is how.

There are 24 GPS satellites orbiting Earth. Each one is constantly broadcasting its location and the exact time.

Your phone picks up signals from at least four of them. By measuring how long each signal takes to arrive, it calculates your exact position.

That is it. No magic. Just math, satellites, and timing.","Word limit compliance, Tone compliance, Audience fit, Format compliance, Specific instruction adherence",10,9,9,10,38,"Word count is 75, within the target range. The language is clean and jargon-free. The closing line ('no magic, just math') is a strong finisher that suits a general audience.","The description of 24 satellites is technically the baseline constellation number; the actual fleet is larger. For a general audience script, 24 is an acceptable simplification.","No significant changes needed. If precision is a priority, adjust to 'a network of GPS satellites' rather than specifying 24. Otherwise this output is ready to use.","Full marks for instruction compliance. Clean, accurate, and appropriately scoped for the target audience.",High,None,Pass,No,65
IF-003,Instruction Following Evaluation,Write a YouTube Shorts script with a cliffhanger ending. Topic: an unsolved disappearance at sea. Tone: mysterious. Max 100 words.,"In October 1872, the Mary Celeste left New York with 10 crew members and a full cargo of industrial alcohol.

One month later, another ship found her drifting in the Atlantic. The sails were set. The cargo was untouched. The lifeboats were gone.

Every crew member had vanished.

The last log entry was dated ten days before the ship was found. No distress signal. No signs of struggle.

To this day, no one knows what happened aboard the Mary Celeste.

But someone left in a hurry.

And whatever scared them, they never came back to say.","Word limit compliance, Tone compliance, Audience fit, Format compliance, Specific instruction adherence",9,10,8,8,35,The cliffhanger ending works well. The pacing builds steadily and the final two sentences deliver genuine mystery. Tone is consistently eerie without being melodramatic.,"Word count is approximately 115, exceeding the 100-word maximum. The crew figure of 10 is also worth checking: the Mary Celeste had 7 crew plus the captain's family of 4, depending on how it is counted.","Trim the final two sentences into one: 'Whatever scared them, they never came back to explain.' Also verify crew count and adjust accordingly.",Strong creative output that misses the word limit by about 15 words. Needs a light trim and one fact check.,Medium,Instruction Failure,Conditional Pass,No,96
IF-004,Instruction Following Evaluation,Write a YouTube script introduction. Format: start with a question. Audience: 18-35 year olds interested in finance. Topic: why most people stay broke.,"Have you ever wondered why some people earn decent money but never seem to get ahead?

It is not about income. It is about what happens after the money arrives.

Most people spend first and save whatever is left. The problem is that nothing is ever left.

The people who build wealth do the opposite. They pay themselves first, then live on what remains.

It sounds simple. It is. But knowing it and doing it are two completely different things.","Word limit compliance, Tone compliance, Audience fit, Format compliance, Specific instruction adherence",10,9,9,10,38,"Opens with a question as required. Tone is direct and relatable, which suits the 18-35 demographic well. The pay-yourself-first concept is presented clearly and without financial jargon.",The content covers ground that is familiar in personal finance. It does not introduce a novel angle or surprising element that would make it stand out in a crowded niche.,Add one unexpected data point to differentiate the script. For example: 'Studies show that people who automate savings consistently save three times more than those who save manually.' A specific claim raises perceived value.,Follows all instructions correctly. The content is good but needs one fresh angle to compete in the personal finance space.,High,None,Pass,No,80
IF-005,Instruction Following Evaluation,"Write a YouTube hook. Requirements: second-person perspective only, no first-person. Topic: you are about to board the most dangerous flight route in the world. Tone: tense.",You have just buckled your seatbelt on the most dangerous commercial flight route in the world. The runway ahead ends at a cliff. Below the cliff is nothing but ocean. And there is no going around it. Every plane that lands here has to get it right the first time. Your pilot knows this. You should too.,"Word limit compliance, Tone compliance, Audience fit, Format compliance, Specific instruction adherence",9,10,7,10,36,Full instruction compliance on POV. Second-person is maintained throughout and the tense tone is consistently delivered. 'Your pilot knows this. You should too.' is a strong closer.,"The hook is written as if describing a specific real airport, but it is clearly a generalized dramatization. The 'runway ending at a cliff' description may mislead viewers into thinking this is a verified description of a real location.","If this references a real airport (such as Lukla in Nepal or Madeira), name it and verify the description matches reality. If it is fictional, frame it more explicitly as a dramatization.",Excellent instruction following. One clarification needed regarding whether this references a real location.,High,Missing Context,Conditional Pass,No,57
